Complaint ID,Product,Issue,Company,Company response,Timely response?,Consumer disputed?,Day received,Response time
1236658,Debt collection,Improper contact or sharing of info,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1,1,42,0
1236660,Debt collection,Cont'd attempts collect debt not owed,Stellar Recovery Inc.,Closed with explanation,1,0,42,0
1236661,Debt collection,Communication tactics,"Berman & Rabin, P.A.",Closed with explanation,1,1,41,1
1236665,Mortgage,"Loan modification,collection,foreclosure",Wells Fargo,Closed with explanation,1,1,42,7
1236667,Payday loan,Charged fees or interest I didn't expect,Solidus Group LLC.,Closed with explanation,1,0,41,10
1236669,Mortgage,"Loan modification,collection,foreclosure",Wells Fargo,Closed with explanation,1,0,42,0
1236670,Debt collection,Cont'd attempts collect debt not owed,Allied Interstate LLC,Closed with non-monetary relief,1,0,42,0
1236848,Consumer loan,Charged fees or interest I didn't expect,"Check into Cash, Inc.",Closed with monetary relief,1,0,42,0
1236849,Mortgage,"Loan servicing, payments, escrow account",Ocwen,In progress,1,0,42,0
1236853,Mortgage,"Loan servicing, payments, escrow account",Ocwen,Closed with explanation,1,0,41,27
1236856,Debt collection,Communication tactics,Oliphant Financial Corporation,Closed with explanation,1,0,42,0
1236859,Credit card,Credit determination,Citibank,Closed with non-monetary relief,1,0,42,0
1236863,Credit reporting,Incorrect information on credit report,TransUnion,In progress,1,0,43,0
1236865,Debt collection,Communication tactics,Discover,Closed with non-monetary relief,1,1,43,0
1236873,Mortgage,"Loan modification,collection,foreclosure",Bank of America,Closed,1,0,42,8
1236874,Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,Closed with explanation,1,0,42,8
1236876,Credit reporting,Incorrect information on credit report,Equifax,Closed with explanation,1,0,42,0
1236879,Mortgage,"Loan servicing, payments, escrow account",HSBC,Closed with explanation,1,0,43,0
1236881,Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase,Closed with explanation,1,0,43,0
1236883,Credit reporting,Incorrect information on credit report,Experian,In progress,1,0,43,0
1236884,Credit reporting,Incorrect information on credit report,TransUnion,Closed with explanation,1,0,43,0
1236885,Credit reporting,Incorrect information on credit report,Equifax,Closed with non-monetary relief,1,0,43,0
1236886,Debt collection,Cont'd attempts collect debt not owed,Penn Credit Corporation,Closed with explanation,1,1,43,0
1236888,Debt collection,False statements or representation,Encore Capital Group,Closed with explanation,1,0,43,0
1236889,Debt collection,False statements or representation,Encore Capital Group,Closed with explanation,1,0,43,0
1236890,Credit reporting,Unable to get credit report/credit score,Experian,Closed with non-monetary relief,1,0,43,7
1236892,Debt collection,Cont'd attempts collect debt not owed,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1,1,43,0
1236895,Debt collection,Cont'd attempts collect debt not owed,"Dynamic Recovery Solutions, LLC",Closed with non-monetary relief,1,0,43,18
