Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Company,Company response,Timely response?,Consumer disputed?,Delivery Time
1203559,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,TX,79924,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,,5
1203571,Credit card,,Advertising and marketing,,CA,92688,Capital One,In progress,Yes,,5
1203568,Payday loan,,Charged fees or interest I didn't expect,,NJ,8527,AALM Consulting Services LTD (International company),Closed with explanation,Yes,,1
1203567,Consumer loan,Vehicle loan,Managing the loan or lease,,NY,13206,Wells Fargo,Closed with explanation,Yes,,5
1203569,Mortgage,Other mortgage,Credit decision / Underwriting,,OR,97701,U.S. Bancorp,Closed with explanation,Yes,,1
1203597,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77049,"The CBE Group, Inc.",Closed with explanation,Yes,,1
1203587,Credit reporting,,Incorrect information on credit report,Public record,TX,77840,Equifax,Closed with non-monetary relief,Yes,,1
1203583,Credit reporting,,Incorrect information on credit report,Account terms,AR,72712,Experian,Closed with non-monetary relief,Yes,,1
1203576,Debt collection,,Taking/threatening an illegal action,Threatened to sue on too old debt,VA,22554,"Premium Asset Services, LLC",Closed with explanation,Yes,,1
1203582,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,OH,45431,"MRS BPO, L.L.C.",Closed with explanation,Yes,,1
1203578,Credit card,,Other,,MA,2045,USAA Savings,Closed with non-monetary relief,Yes,Yes,1
1203577,Bank account or service,Checking account,"Account opening, closing, or management",,CA,90018,OneWest Bank,Closed with explanation,Yes,,1
1203595,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77049,"Aargon Agency, Inc.",Closed,Yes,,1
1203592,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77049,"Afni, Inc.",Closed with explanation,Yes,,1
1203588,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,MO,63367,"American Financial Resources, Inc.",In progress,Yes,,1
1203594,Debt collection,,Communication tactics,Frequent or repeated calls,TX,77049,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,,1
1203593,Debt collection,,Communication tactics,Frequent or repeated calls,TX,77049,"Mercantile Adjustment Bureau, LLC",Closed with explanation,Yes,,1
1205159,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,MD,21152,Ocwen,Closed with explanation,Yes,,1
1203609,Credit card,,APR or interest rate,,UT,84020,Capital One,Closed with explanation,Yes,,1
1203601,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,MO,63135,Account Resolution Corporation,Closed with explanation,Yes,,1
1203600,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,MD,21211,"Green Tree Servicing, LLC",Closed with explanation,Yes,,1
1203608,Credit reporting,,Incorrect information on credit report,Public record,FL,32407,Equifax,Closed with explanation,Yes,,20
1203604,Credit reporting,,Incorrect information on credit report,Account terms,FL,32750,Equifax,Closed with explanation,Yes,,5
1203602,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,FL,34135,"Meridian Financial Services, Inc.",Closed with explanation,Yes,,1
1203607,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CA,94513,Encore Capital Group,Closed with explanation,Yes,,1
1203606,Debt collection,Credit card,Taking/threatening an illegal action,Sued w/o proper notification of suit,GA,32703,Lazega & Johanson LLC,Closed with explanation,Yes,,5
1205147,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,CA,94931,Citibank,Closed with explanation,Yes,,1
1205056,Credit card,,Transaction issue,,LA,70301,JPMorgan Chase,Closed with explanation,Yes,Yes,0
1203614,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Called outside of 8am-9pm,TX,76049,Financial Corporation of America,Closed with explanation,Yes,Yes,1
1205055,Debt collection,,Communication tactics,Frequent or repeated calls,CA,95838,"FAIR COLLECTIONS & OUTSOURCING, INC.",Closed with explanation,Yes,Yes,1
1203613,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,FL,33437,Flagstar Bank,Closed with explanation,Yes,,1
